Project ID,Task ID,Corrections,Grammar,Spelling,Consistency,Comment,User
2521,6172,3,3,3,3,Dear Elena\r\nMany thanks indeed for doing this translation for us.\r\nI really appreciate it.\r\n\r\nkind regards\r\nBride Counihan,bride.counihan
2522,6173,3,3,3,3,Dear Hannah\r\nThank you very much for doing this translation for us.  I am very grateful.\r\nkind regards\r\nBride Counihan,bride.counihan
2518,6168,3,3,3,3,Dear Maalgar\r\nMany thanks indeed for doing this translation for us.  It is very helpful.\r\nkind regards\r\nBride Counihan,bride.counihan
2520,null,2,2,5,4,This text was not particularly well written and I have highlighted my main doubts over meaning in footnotes.,Sharon Cowell
2519,null,4,2,3,1,"Sentences were too long in source file in Spanish, eg. 1 paragraph of 6 lines, without any full stop. It had to be divided into small sentences in EN.\r\nSome sentences were difficult to understand the meaning.\r\nMy main comment is that it was a form which included explanations on how to fill the form, which I guess had been previously translated into Spanish, so I was not sure whether this needed translating into EN or not. Common sense tells me they only needed the organisation's responses in the form. Just in case, I translated everything. But in the future, this type of clarifications for the translator would be useful. \r\nAlso, it would be good to share glossaries amongst tranlators, doing different parts of the same document, in order to keep consistency. \r\n",Gisela Derrick
2423,5897,3,4,5,4,"Good translation, I made some changes to make it more suitable for the targeted readers. I will be happy to work with this translator again.",Lucie Maruniakova
2577,null,3,3,4,4,"The English was very good overall and flowed well. The main errors, I would say, were due to choosing the wrong word for the context which is a just a native/non-native confusion. But I thought it was very well written.",lauracmassey
2541,6242,5,5,5,5,null,am_laurita
2577,6286,3,3,3,3,"Thanks for proofreading.\r\nGreat job.\r\nGreetings,\r\nJohann",Foundation for Environmental Education 
2586,null,5,5,5,5,null,evalespinassee
2584,6334,4,4,4,4,null,hannah_sibley13
2519,6170,3,3,3,3,Dear Gisela\r\nMany thanks indeed for doing this translation for us.  I really appreciate it.\r\nkind regards and best wishes\r\nBride Counihan,bride.counihan
2532,6205,3,3,3,3,Dear Andressa\r\nMany thanks indeed for doing this translation for us.  I really appreciate it.\r\nkind regards\r\nBride Counihan,bride.counihan
2539,6234,5,4,5,3,null,ryuichan39
2584,6334,5,5,5,5,Several of the graphs are missing the content. I found the source file on the requesting organisation's website and did the best I could to translate them based on what I found. There are also a few formatting issues I couldn't correct (there's a line going through some of the text on page 9 in the second paragraph). ,chrispeterson8888
2586,6341,3,3,5,4,null,Malu Pavan
2586,6339,3,3,3,3,null,antoneladrovetta
2515,6163,5,5,5,5,"Excellent translation, I only needed to make very few changes in punctuation, spelling and wording. ",Elena_ch90
2216,5310,5,4,5,4,null,silademirok
2216,null,5,4,4,5,null,silademirok
2596,null,5,5,5,5,null,celsomazon
2484,null,2,2,2,1,It was difficult to translate a text based on an oral discourse in which there were no commas or pauses.,marinapuiggrossole
2549,null,5,5,5,5,I could not edit the tables in the word document so the translation can be found at the end of the document in 'Translator's notes',Anna
2585,6338,3,4,4,4,"I supposed it has been caused by conversion of the file, but I couldn't see one of the graphics (page 8 if I remember well).",sarapereafabian
2535,null,5,5,5,5,null,Sara Arilla
2537,null,3,3,4,5,null,ayja_90
2544,null,1,1,1,2,"The source file was difficult to read as the person interviewed in the text was uneducated and used very poor terminology and grammar. Being a text from Peruvian Spanish, some words were typical from Peru, but I could guess their meaning by the context and by searching them in different online resources.\r\nAt times, the interviewee didn't answer Santi's (interviewer) questions, he answered something different, which made the conversation harder to follow.\r\n\r\n",bea.aramendia1
2591,6380,5,5,5,5,"Thank you so much for helping us with this translation. We're very happy with it! An abbreviated version will be sent out in our newsletter this week and you'll be credited on our website, too. ",Paulina Abzieher
2585,6338,2,5,2,2,I couldn't find an English equivalent of 'PEAS' so I assumed it meant 'weapons.' Apologies if this is incorrect!,hannah_sibley13
2609,null,5,5,5,5,null,hannah_sibley13
2611,null,5,5,5,5,"I didn't know whether to translate the hashtag or not. Finally, I decided not to because it is also the name of the organisation.",am_laurita
2612,null,5,5,5,5,null,Laura Lospitao Pastor
2536,6218,2,1,2,2,There were many mistakes but I was glad to make the document better.,eliasdavidjacob
2538,6222,1,1,1,1,"The \""translator\"" that translated this text has kept both the translated and not translated texts in the document, that's why I had to erase the original text and keep just the translated one. Also, the Word's spellcheck hasn't been used. The person that translated this text is unprofessional and I wouldn't let him translate again for NGO. There have been grammar mistakes and concordance errors. There also have been passages that haven't been translated, so I had to translate them.",eliasdavidjacob
2516,6165,1,1,4,3,null,evalespinassee
2537,6220,2,3,1,3,null,eliasdavidjacob
2612,6455,2,4,5,5,There have been some mistakes I was glad to correct.,eliasdavidjacob
2514,6162,1,3,3,3,null,eliasdavidjacob
2585,6343,2,2,3,1,null,Nadica Metuleva
163,null,3,3,3,3,null,petr8888a
2088,4901,5,5,5,5,null,YanYiLee
2216,5318,4,5,5,5,null,shenyi78
2513,6160,5,4,3,3,"The rules were translated properly. I encountered minor typos, mistakes.",teresa.estudillo
2585,6347,4,5,4,4,"The body of the document was translated excellently into American English. However, the task was supposed to be translated into British English, so I switched out the American spellings and idioms for their British counterparts.",Genius_and_Species
2539,null,4,4,4,4,null,i.rojekwalczak
2612,6455,4,5,5,5,The only errors related more to knowing the context in which it was to be used and so are completely understandable.,zaid
2612,6456,4,5,5,5,null,zaid
2612,6457,4,5,5,5,null,zaid
2612,6458,4,5,5,5,null,zaid
2505,6151,4,4,5,3,"The document was well translated, and I did my best to proofread it thoroughly. However both translation and proofreading would be a bit tricky for somebody who has no background about the terminology used in.",gozdetuzcu
2539,null,5,5,4,3,"The information in this file are not enough and do not give a complete idea about how Trommons works.\r\n\r\nThere are many missing points such as claim a task, it's not clear and It tooks me long time to look for the suitable meaning for it.\r\n\r\nThe quality of this video is not good as I expected, and I tried to do my best.",mirfaeya
2589,null,3,3,3,3,"Corrections=5\r\nGrammar=no errors\r\nSpelling=5\r\nconsistency=5\r\nThe file was converted from PDF to Word so I can work on it. Therefore I encountered formatting issues, especially font issues as it was either too small or too big and varied from sections to sections. Some Heading were not editable and bullet points moved about quite a lot. Overall I was able the translate the all the editable part of the file, which had a lot of cross-cultural references.",bricenathan
2523,6176,1,1,1,1,"It was a very laborious and tiring task. There were many mistranslated sentences with opposite meaning to the original, some missing sentences, unintelligible sentences, spell-check was awful, which made me rewrite almost 70% of the whole text. I would have preferred to translate it myself directly.",Neus Adrian Pons
2611,null,5,5,5,5,null,julie.diderotto
2357,null,5,5,5,5,"There were pictures in the file that I could not edit, including a one large picture, I just sticked textboxes on the original file with the translations. That should be turned into a picture by someone who can draw pictures, I cannot unfortunately :(. ",derya.beyatli
2504,null,5,5,5,5,null,Yasemin Bayraktar
2609,6430,3,3,3,3,Dear Hannah\r\nthanks very much indeed for doing this translation for us.\r\nkind regards\r\nBride,bride.counihan
2202,5257,3,3,3,3,null,Christiane S.
2624,null,3,3,3,3,"I found it difficult to change somethings because of the format of the page. In some instances I used the tiniest font size because I couldn't use two lines. So, someone has to re do the layout. I didn't know if I had to do that so I didn't but if you need me to do it, just let me know and I will.\r\n",Pilar GonzÃ¡lez 
2585,6345,5,5,5,5,The only major thing was the numbers. ,kanelanguageservices
2597,null,5,4,4,4,null,Raquel Balaguer
2584,6334,5,3,5,4,null,Silvia Manzanero
2618,6476,3,4,4,5,null,Nabey S.G.
2634,null,4,3,5,4,null,Mirna Turina
2629,6521,3,3,3,3,null,eliasdavidjacob
2635,6551,3,3,3,3,Dear Hannah\r\nMany thanks indeed for doing this translation for us.  I really appreciate it.\r\nkind regards\r\nBride Counihan,bride.counihan
2611,6447,5,5,5,5,null,ofcoursetranslations
2634,6547,4,5,5,5,null,annalisa.giovannini
2539,6234,3,3,3,3,Thank you so much for completing this translation for us! We've just added your subtitles to the video and you're credit by name at the end.,Paulina Abzieher
2539,6235,3,3,3,3,Thank you so much for proofreading these subtitles for us! They are now available online. Your help is much appreciated. Please let us know your full name so we can credit you on the video.,Paulina Abzieher
2627,null,5,2,4,4,"A little bit more information on the context and purpose of the document would have been helpful. \r\nIt took a while to find the English vocabulary specific to the missionary organisation (Congregation, Charism etc), so a bit more information would have been handy.\r\nI assumed that it was a document for internal information and that therefore the 'train of thought' style could be retained. Hope that's OK.",Becky Mynett
2589,6375,2,2,3,2,I think it was translated by a non native speaker and some parts might have been dobe on google translate. They clearly have a very good grasp of the english language but need to brush up on some areas of grammar and the more idiomatic phrases. To a native speaker it was very very obvious.,alba.pi.barris
2627,6494,3,3,3,3,Dear Becky\r\nMany thanks for doing this translation for us. It is much appreciated.\r\nkind regards\r\nBride Counihan,bride.counihan
2584,6350,4,5,5,4,null,Rachel Goforth
2620,null,3,3,3,3,null,teresa.estudillo
2578,6287,5,4,5,4,null,ireneriveratrigueros
2630,6533,1,1,1,1,"It is obvious that this source file was translated by some machine translator, not by human. Awful quality! I was able to proofread only half of text - the rest is just not understandable",lavinia85
2611,null,3,3,3,3,The text was good. \r\nI think it would be useful to the proofreader to have the original file to compare with the translation.\r\n,Ticiana MG
2633,null,1,1,3,1,"The source text was very badly written, to the point where bad grammar and sentence structure severely hindered the meaning of the text.",bajanlaura
2542,null,1,1,1,3,"The file is an audio transcript which lacks punctuation in many cases or has errors of punctuation. It also uses local names and mythological words to some extent. The sentences do at times not make sense at all, which makes translating extremely challenging. Given the context, I have however tried to keep the original style and punctuation of the source file. Some words that I percieved to be local I have kept, in itallics. Please keep this in mind when proofreading. ",J. Borzasi
2657,null,3,2,3,3,Sentences were rearranged to improve the readability.,Hsin-wen
2634,6545,1,1,3,3,I do not think the translator was a native English speaker. The text was more or less correct but not idiomatic.,char.kizzie
2660,null,4,5,5,5,"I changed \""femme prostituÃ©\"" to \""femme en situation de prostitution\"" which sounds less rude. ",adeline.gaudefroy
2628,null,3,3,3,3,null,Sherry
2204,5273,5,5,5,5,null,D Manske
2627,6495,3,3,3,3,Dear Maria\r\nThanks very much for this translation.  Much appreciated.\r\nkind regards\r\nBride Counihan,bride.counihan
2661,null,5,5,5,5,null,alba.pi.barris
2578,6287,3,3,3,3,"I found this document really interesting, I've learned a lot! Thanks",xyandre.m
2627,6495,5,5,5,5,null,xyandre.m
2598,6394,5,5,5,5,"The text was a challenging one to translate because of the need to balance the original speaker's voice with an English reader's expectations and needs.  This resulted in a translation that is, in parts, quite free but I have tried to ensure that the text reads well when spoken aloud.",Sharon Cowell
2584,6334,5,5,4,5,Researching some of the terms I didn't know was interesting,theinnerspace
2486,6098,3,3,3,3,null,uykusuz
2504,6143,5,5,5,5,Ã‡ok mÃ¼kemmel proofreadingini de kendisi yapmÄ±ÅŸ sanÄ±rÄ±m. DÃ¼zeltilecek pek bir ÅŸey bulamadÄ±m.\r\nÃ‡evirmeni kutlarÄ±m,uykusuz
2418,5849,5,3,4,4,null,alealett
2511,null,3,3,3,3,"Somewhat challenging due to the transcript quality, but hope this proves helpful! Interesting work, best of luck. There were a couple words I found impossible to translate and left in their original spelling with italics. ",mdola1
2526,6465,2,3,3,3,Many spelling errors: all the words with an accent on (e.g. libertÃ ) were spelled as words with an apostrophe on (e.g. liberta').\r\nThere were also some mistranslations and sentences that sounded odd in Italian. \r\n ,Debora_Serrentino
2659,null,5,5,5,5,The translation was first made in Portuguese (pt) and I was requested to change to Portuguese (Br) therefore I am not qualified to rate the previous translation.,Malu Pavan
2605,6411,3,4,5,3,"It was a good translation, I felt in places the syntax didn't sound completely English, hence many of the changes.",lauracmassey
2632,6541,3,3,4,3,It was a good translation. I felt that occasionally a better word or phrasing could be found.,lauracmassey
2662,null,4,5,5,4,"NÃ£o foi possÃ­vel traduzir este fragmento:\r\n\r\n\""A partir da sua promulgaÃ§Ã£o pela Presidente passarÃ¡ a vigorar, portanto, todas as organizaÃ§Ãµes que usarem recursos da prefeitura, estado e UniÃ£o precisam entender e aplicar a Lei A LEI 13.019/2014\""\r\n\r\nEspero que o resto seja Ãºtil. \r\n\r\nAtenciosamente,\r\n\r\nMelany Ãvila.\r\n",melavila_27
2539,6230,5,5,5,3,null,Karolina Wlodarczyk
2662,6684,3,3,3,3,Dear Melany\r\nThanks very much for doing this translation.  I really appreciate it.\r\n\r\nkind regards\r\nBride Counihan,bride.counihan
2679,null,5,5,5,5,null,Da Hyun 
2673,null,5,3,4,4,Task was quite straightforward and enjoyable...,bricenathan
2679,null,5,5,5,3,null,natalia.dsm.92
2673,6745,3,4,5,5,null,ekalaj
2578,6291,3,4,2,1,"The problem of this kind of files is that it is part of other files, it would be ideal if only one proofreader could work on all of them so that there are no inconsistencies overall.",Rocio Nava 
2677,null,5,5,5,5,null,ciaran_edwards
2578,6287,4,5,5,5,null,Clarinesvp
2614,6463,3,3,3,3,null,teresa.estudillo
2629,null,4,5,5,5,null,Da Hyun Chung
2679,null,5,5,5,5,null,mirfaeya
2584,6354,3,4,3,4,"There were some mistakes concerning spelling and some cases of literal translation, but otherwise it was fine.",Maria del Pilar Arias
2504,6133,2,3,5,3,"Good and appropriate vocabulary.  There were no major errors, but some unnatural wording was seen.",Kyoko
2584,6356,2,4,5,2,"Although the translation did handle some tricky turns of phrase quite nicely, it did occasionally misinterpret the meaning of the original, causing quite significant mistranslations in some instances.\r\n\r\nA bit more research on acronyms and the wording of certain laws would have been useful. All of the EU laws/ regulations are always written in all other EU languages, so that's quite handy.\r\n\r\nGenerally, not a bad translation at all, but some errors did need a fair bit of rewriting.",kathryn_morgan
2656,6657,5,3,5,3,The tables and images are in a very messy format,ivanmartinez.job
2626,6492,2,3,5,3,"It was pretty good. A couple of verb-subject agreement errors, and a couple of vocabulary ones. The rest were just cases of redundancy. There was also the case of missing translation of a term at the very bottom (\""Phone\""). ",Laura A. GimÃ©nez
2628,6507,4,5,4,4,null,Laura A. GimÃ©nez
2620,6480,4,5,5,5,null,Laura A. GimÃ©nez
407,6090,3,4,3,3,null,translation.services80
2689,null,4,5,5,4,"Il file era un po' ripetitivo, specialmente nelle due parti quasi uguali \""Per cosa lavoriamo\"" e \""Lavoriamo per\""; Ã¨ risultato un po' troppo generico, ma come prima presentazione va bene. Se va all'interno di un sito bisogna andare in profonditÃ , citando progetti, modi di lavorare, campagne di fund raising giÃ  attive e in programma, Paesi in cui si opera, se Ã¨ solo su base volontaria o meno eccetera. Spero il contributo vi sia utile. ",Giorgia Spadaccini
2539,6230,5,5,5,5,Thank you so much for translating these subtitles for us! This will help Polish volunteers to find their way around Trommons. We've uploaded your subtitles and credited you at the end of the video. Thanks!!,Paulina 
2539,6231,5,5,5,5,Thank you so much for proofreading these subtitles for us! This will help Polish volunteers to find their way around Trommons. We've uploaded your subtitles and credited you at the end of the video. Thanks!!,Paulina Abzieher
2678,null,5,5,5,5,null,ciaran_edwards
1865,4355,3,4,3,3,"Apart from a few typos, the translator has done a good job.",Hsin-wen
2640,null,3,3,3,3,There appeared to be some text missing in the original document (in Spanish). I highlighted this in the translation uploaded to Trommons,Elaine Jordan
2640,6558,3,3,3,3,Dear Elaine\r\nThanks very much for this translation.  I am very grateful.\r\nkind regards\r\nBride Counihan,bride.counihan
2688,null,3,3,2,3,I found that a lot of Samuel's speech was an endless stream of dialogue so I have added paragraphs/ commas/ full stops etc. Hope that's OK!!,hannah_sibley13
2651,6588,2,4,2,2,Some things were difficult to understand so I hope I solved the issue correctly,Rocio Nava 
2651,6588,3,2,3,5,"Very interesting file, I'd be glad to translate other chapters of the book.",Philippe Tronci
2539,6226,3,2,5,5,The previous translation provided a more literal interpretation; I changed the wording at times to make it more fluent.,kchen.tifbpo
2418,5852,3,5,4,3,"I corrected a few things that were originally written in South American Spanish, so I used the words used in Spain instead. There were a few punctuation problems which repeated themselves, such as not writing capitals after a colon. I did notice that this file was quite different from the original source file provided, as in, it was a different document that included more extensive information and the paragraphs were also mixed, which made it impossible to do a 'like for like' comparison of source file and translated file. ",sgr
2597,6392,5,5,5,5,There were very few mistakes that required correction in this text. ,sgr
2598,6395,5,5,5,5,null,Anna
2598,6397,5,5,5,5,null,Anna
2224,5336,3,3,3,3,Dear Lynch 14\r\nThanks very much for doing this translation for us.  I am very grateful.\r\nkind regards\r\nBride Counihan,bride.counihan
2637,6553,5,4,5,5,null,kanelanguageservices
2127,null,3,2,4,4,null,pav0123654
2628,6505,2,2,3,2,Quite a few sentences were impossible to understand without looking at the source file.\r\nExtensive corrections and revisions were made to the text.,Vera Gordienko
2680,6835,3,4,4,3,null,jigya1848
2611,null,5,5,5,5,null,Debora_Serrentino
1801,4130,4,5,4,5,null,Debora_Serrentino
1499,null,3,3,3,3,null,Samie
2677,6768,5,5,5,5,null,Anna
2678,6776,5,5,5,5,null,Anna
2664,6689,3,3,3,3,Apart from two small typos this translation was perfect - thank you!\r\n\r\nWe have uploaded it here and credited you: http://antimili-youth.net/de/node/553,hannah
2517,6166,4,4,4,4,null,srtraducciones1
2639,6556,5,4,4,5,null,Francesca M.
2624,6488,3,4,4,4,The format text was the main problem. Not very accuracy according to the original text.,evalespinassee
2611,6449,5,5,5,5,"Very good tranlsation, just one little layout-error.",steffi.bothor
2611,6451,5,5,5,5,null,annalisa.giovannini
2611,6453,5,5,5,5,"Minor mistakes (extra space, misplaced comma, en-dash instead of hyphen)",tomasz.szymenderski
2656,6657,3,3,3,3,null,carolinaolivero8614
2651,6588,1,4,5,2,null,yamilarazzetto
2665,6690,4,3,3,2,"I had problems with the format of the file, because it was changed suddenly from one sentence to another, creating columns were it shouldn't or forcing me to write in paragraphs allowing only two words. I could sort it out in the end.",Marta Perez
2698,null,3,3,3,3,"The numer 14 of the handout is not included in the autoevaluation, I think that's a mistake but I didn't fix it because I can't be sure. But heads up!",Pilar GonzÃ¡lez 
2650,6582,5,5,3,3,"It was a very good translation, with excellent spelling and grammar. I found a few phrases were not translated, and I felt in places it stuck a bit too closely to the Italian original which meant it didn't sound so natural in English. I hope I have addressed this satisfactorily.",lauracmassey
2676,null,5,4,5,5,"I put between brackets the French equivalents of \""Wedulibro viajero\"" and \""Apadrina\"", but it can be taken out if deemed unnecessary",Maxime Galopin
2675,null,5,4,5,5,"I added the French equivalents of \""Wedulibro\"" and \""Wedulibro viajero\"", but it can be taken out if deemed unnecessary. I did not add a French equivalent of \""Ahora Toca...\"" as it is the official program name, and that it can have varied meaning in different contexts.",Maxime Galopin
2698,6862,3,3,3,3,Hallo Pilar\r\nMany thanks indeed for doing this translation for us.  I am  very grateful.\r\nkind regards\r\nBride Counihan,bride.counihan
2697,6860,3,3,3,3,Dear Pilar\r\n]Thanks very much for doing this translation for us.  It is a great help.\r\nkind regards\r\nBride Counihan,bride.counihan
2703,null,3,3,3,3,null,quinquislucie
2539,6224,5,5,5,4,null,nmshokry
2665,6690,5,5,5,5,null,Maria Adela TroitiÃ±o de Bertona
2679,6802,5,5,5,5,null,nmshokry
2578,6288,5,5,5,5,"A few comments on the translation:\r\n\r\n1. I am not sure I understood the meaning of \""voter registration and consumer data\"" in the second paragraph, so I tried to translate it as I could.\r\n2. Is there a University name missing in the fifth paragraph? \""University x\""\r\n\r\nRegards,\r\n\r\nLÃ©a",w1506844
2640,6558,3,3,3,3,"A very well translated text, very few errors, excellent spelling, grammar and consistency.  A pleasure to read.",info
2651,6588,5,5,5,5,null,lmiguez
2686,null,3,3,4,2,Not sure what you wanted done with the opening and closing lines!,studytospeak
2630,6535,2,3,3,3,null,maalgar
2656,6657,3,3,1,3,null,traducciones96
2703,6884,1,1,1,3,The translator is not qualified and has poor Arabic grammar.,mirfaeya
2629,6519,1,1,1,1,"The translation was done with machine translation, I had to translate (not to proofread) almost the whole text.",viktoriya_skvorc
2539,null,3,3,5,2,"There were incomplete sentences, in English it makes sense but when you try to translate it in any language - in my case in Turkish- and it loses its meaning and seems awkward. I hope, it was helpful.",EmelYavuz
2703,6882,3,4,4,5,A couple of misunderstandings of the source text caused mistranslations. Good spelling and grammar.,ClaireE
2716,null,2,3,5,4,"This piece was clearly written by a non-native English speaker as the word choice and syntax were a bit strange at times. It is better to get native speakers to produce such texts or request translations directly from the source text e.g. Catalan to English, to ensure that the message is conveyed accurately.",GM
2679,6810,4,4,5,4,null,sergei.vasin
2697,6860,2,3,5,3,"It seems it's been translated by a non native by the look of how some expressions have been laid out such as technical phrases e.g.: soft areas=Ã¡mbito interpersonal and it has nothing to do with \""areas blandas\"".",sam.b.betts
2651,6593,5,5,5,5,The document format is not a standard one.,sam.b.betts
2703,null,5,5,5,5,null,Ana Sanchez
2578,6287,5,5,5,5,null,Ximena Soto
2578,6320,5,5,5,5,null,Hamon.mo
2697,6861,3,3,3,3,Dear Sam\r\nThanks very much indeed for doing this translation for us.  I really appreciate it.\r\nkind ,bride.counihan
2686,6831,3,3,3,3,"hi, you are welcome to work on any translation, and the deadlines are not really strict, only that i need to keep moving cause there's so much and im trying to finish my dissertation in a year or so. SO just move as fast as comfortably possible. ....     Do you need me to change the deadlines? Or can you access them as is?",humcolored
2630,null,3,3,3,3,I am terribly sorry for missing the deadline this time. Please kindly accept my humble apology for any inconvenience caused.,nguyenthanhthu111
2651,6589,5,4,4,4,null,srtraducciones1
2578,6287,3,3,3,3,null,fernandez.victoria
2703,6880,4,4,4,5,null,eugeniabliss
2656,6657,5,5,5,5,null,Silvia Ragel-Serrano
2578,6293,1,3,4,2,null,RocÃ­o De Deco
2674,6747,3,3,3,3,"This file had many inconsistencies in terms of terminology which, made translating it quite tricky specially in places where words like \""Migrants\"" was use to refer to immigrant...The English version seemed to have been translated from another language but not by a native speaker, therefore reading the document was not always fluent.",bricenathan
2680,6837,5,4,5,5,"There were two problems: the source text was a translation and I did not have access to the video (I never really knew who was speaking and it was very confusing). Other than that, it was OK. Not a very difficult text.",desrochersjulie
2656,6667,5,5,5,5,null,sam.b.betts
2578,6299,4,4,4,5,null,eugeniabliss
2706,6890,4,4,5,3,"The text was overall well translated. There were mainly a few sentences which still had a very English structure. They were wuite hard to understand and were therefore modified. The order of quotation marks and commas was switched a few times as well, but the spelling was very good.",sarah
2717,null,4,4,5,4,null,Maria
2667,null,5,5,4,5,null,stella.diomidous
2697,null,3,3,3,3,le power point n'a pas Ã©tÃ© traduit : incompatibilitÃ© de logiciel.,evelinelamige
2578,6305,2,2,3,1,"In my opinion, there is lack of consistency and accurate vocabulary in this text. I think that the translator wrote it as if he or she was talking. It seems much less serious than it could be.",sarapereafabian
2628,6509,4,4,5,4,null,Trung-DÅ©ng Nguyá»…n
2714,null,3,3,3,3,null,Pilar GonzÃ¡lez 
2670,null,4,5,5,4,Very long but rewarding experience and I feel like I have learned a lot as well. ,nesreen_su
2674,6746,4,5,5,5,null,Laura A. GimÃ©nez
2680,6840,5,5,5,5,null,mvk0016
2711,null,5,5,5,5,null,sjh466
2656,6673,4,5,5,5,"Very good translation, indeed many few corrections have been needed.",traducciones96
2703,6884,3,3,3,3,null,zaid
2703,6885,4,4,4,5,null,zaid
2703,6880,3,3,3,3,null,zaid
2703,6881,3,3,3,3,null,zaid
2703,6882,4,4,4,4,null,zaid
2703,6883,4,4,4,4,null,zaid
2667,6711,5,5,4,5,null,alba.pi.barris
2682,null,3,3,3,3,"Hello,\r\n\r\nPlease note I had already uploaded this task on time but received a notification:\r\n\r\n \""The \""Translation\"" task for \""Annual Report Form\"" from English into French has passed its deadline. As the task deadline has passed, please ensure to upload your output file. If you have any questions about the deadline, please contact info@trommons.org.\r\n\r\nFrom,\r\nThe Trommons Team \""\r\n\r\nI am uploading this again.\r\nPlease let me know by email if you still receive anything and I can send it to you by email then.\r\n\r\nBest regards,\r\n\r\nBeatrice",beatrice.delasayette
2665,6690,3,4,5,3,null,"Bori, MarÃ­a Sol"
2700,null,3,3,3,3,null,xyandre.m
2663,null,4,4,5,5,"The font was terrible. Very difficult to read properly. Perhaps would be better to stick with one of the classics. Nevertheless, good luck. Loved the project, hope you get the sponsorship\r\nCheers",Felipe Machado
2504,6134,3,3,3,3,Thank you so much for this! We really appreciate your time and hard work!,Kristen.Williams
2504,6133,3,3,3,3,Thank you so much for this! We really appreciate your time and hard work!,Kristen.Williams
2701,6874,3,3,3,3,Dear Imiquez\r\n\r\nMany thanks for doing this translation for us.  I really appreciate it.\r\nkind regards\r\nBride Counihan,bride.counihan
2700,6870,3,3,3,3,Dear Xyandre\r\nMany thanks for doing this translation for us.\r\n\r\nkind regards\r\nBride Counihan,bride.counihan
2676,null,5,5,5,4,null,Cat Burns
2675,null,5,5,5,4,null,Cat Burns
2678,null,3,3,3,3,null,Roser SÃ¡nchez
2677,null,3,3,3,3,null,Roser SÃ¡nchez
2676,null,3,3,3,3,null,Roser SÃ¡nchez
2675,null,3,3,3,3,null,Roser SÃ¡nchez
